Incident Zip,count
11226.0,154
10031.0,152
11209.0,133
10040.0,131
10032.0,123
10034.0,117
10312.0,111
11385.0,111
10306.0,104
10468.0,98
10002.0,95
10309.0,90
11223.0,83
10314.0,78
11203.0,78
11221.0,76
11234.0,67
11420.0,66
11214.0,65
10467.0,65
11235.0,64
11372.0,63
11377.0,63
11208.0,58
10453.0,57
11102.0,55
10029.0,55
11368.0,54
10469.0,54
11364.0,53
11206.0,52
11216.0,50
11207.0,50
11419.0,50
10472.0,50
11233.0,45
10305.0,44
11434.0,44
11204.0,43
11361.0,43
10463.0,43
10308.0,43
11373.0,42
10451.0,41
11229.0,41
11212.0,41
11378.0,41
11213.0,40
10304.0,40
11237.0,40
11218.0,39
10473.0,39
10027.0,38
11238.0,37
10465.0,37
10035.0,36
10462.0,36
11429.0,35
11412.0,35
11225.0,35
10457.0,35
10466.0,34
11105.0,33
11228.0,32
10307.0,32
11357.0,32
10452.0,32
11236.0,31
11432.0,31
11220.0,30
11413.0,30
10037.0,29
10009.0,29
10459.0,29
11230.0,29
10456.0,29
11418.0,29
11222.0,29
10033.0,29
10039.0,28
11210.0,28
11423.0,27
11211.0,27
11421.0,27
10301.0,27
11435.0,27
10025.0,26
10458.0,26
11379.0,26
11106.0,25
10302.0,25
10454.0,25
10460.0,24
10461.0,24
10310.0,24
11219.0,23
11422.0,23
11411.0,23
11101.0,23
11417.0,22
11427.0,22
11694.0,22
11249.0,22
10026.0,22
10455.0,22
11436.0,21
11369.0,21
11004.0,21
11433.0,21
10030.0,20
11232.0,20
11692.0,20
11416.0,20
10128.0,19
10303.0,19
10038.0,18
11365.0,17
11370.0,17
11224.0,17
11355.0,16
11215.0,16
11428.0,16
11693.0,15
11358.0,15
11201.0,14
11414.0,14
11367.0,13
11103.0,13
11691.0,13
11359.0,12
11104.0,12
10011.0,12
11231.0,12
10001.0,11
11426.0,10
11366.0,10
11415.0,9
11205.0,9
11362.0,9
11354.0,9
11360.0,9
11375.0,8
11356.0,7
11374.0,6
10024.0,6
10471.0,6
10036.0,5
10023.0,5
10470.0,4
10019.0,4
10474.0,4
10003.0,4
11217.0,4
11001.0,4
10014.0,4
10004.0,3
10464.0,3
10475.0,2
10018.0,2
10010.0,2
10016.0,2
10044.0,2
10012.0,2
10065.0,1
10022.0,1
10013.0,1
11040.0,1
11239.0,1
